Date,state,cases,deaths
2020-03-06,Indiana,1,0
2020-03-07,Indiana,1,0
2020-03-08,Indiana,2,0
2020-03-09,Indiana,4,0
2020-03-10,Indiana,6,0
2020-03-11,Indiana,11,0
2020-03-12,Indiana,12,0
2020-03-13,Indiana,12,0
2020-03-14,Indiana,15,0
2020-03-15,Indiana,19,0
2020-03-16,Indiana,24,1
2020-03-17,Indiana,30,2
2020-03-18,Indiana,39,2
2020-03-19,Indiana,56,2
2020-03-20,Indiana,79,3
2020-03-21,Indiana,126,4
2020-03-22,Indiana,201,6
2020-03-23,Indiana,259,7
2020-03-24,Indiana,366,12
2020-03-25,Indiana,479,14
2020-03-26,Indiana,656,18
2020-03-27,Indiana,982,26
2020-03-28,Indiana,1232,31